Goal, RMMASq1
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps,x, y, z, xrot, yrot, zrot
Coarse Spiral Search
14.135, -2, -1, 395.478, 312.166, 297, 180, 0, 0, 1, 11.5084, 35, 395.477, 342.166, 297, -180, 5.8686e-05, 0.000197026
59.754, -2, -2, 422.003, -147.853, 297, 180, 0, 0, 1, 10.6354, 33, 442.004, -117.853, 297, -180, 5.86847e-05, 0.000197022
Bisect
25.996, -1, -1, 395.477, 342.166, 297, 180, 0, 0, 1, 25.6182, 209, 398.734, 357.415, 297, -180, 5.8686e-05, 0.000197026
70.744, -1, -2, 442.004, -117.853, 297, 180, 0, 0, 1, 23.3655, 187, 433.817, -100.603, 297, -180, 5.86718e-05, 0.00019702
Fine Spiral Search
96.626, 0, 0, 348.083, 353.535, 297, 180, 0, 0, 1, 3.61066, 69, 346.743, 351.545, 297, -180, 5.86727e-05, 0.000197018
105.097, 0, 1, 381.825, -106.473, 297, -180, 5.86727e-05, 0.000197018, 1, 61.3822, 1165, 373.326, -100.495, 297, -180, 5.86768e-05, 0.000197019
171.379, 1, 0, 346.743, 351.545, 297, -180, 5.86727e-05, 0.000197018, 1, 0.105342, 3, 346.743, 351.545, 297, -180, 5.86893e-05, 0.000197019
176.227, 1, 1, 373.326, -100.495, 297, -180, 5.86768e-05, 0.000197019, 1, 6.17667, 115, 371.69, -99.9971, 297, -180, 5.86736e-05, 0.000197019
