Goal, RMMASq2
time, iter, marker, init_x, init_y, init_z, init_xrot, init_yrot, init_zrot,ok, time_elapsed, steps_large, steps_small,x, y, z, xrot, yrot, zrot
Edge
17.874, -1, -1, 379.982, -0.0519031, 297, 180, 0, 0, 1, 2.87827, 4, 18, 328.803, -0.0214898, 297.089, 179.976, -0.0102591, 0.017182
21.873, -1, -2, 328.803, -228.621, 297, 180, 0, 0, 1, 3.23388, 6, 30, 322.614, -228.595, 296.978, -179.994, -0.00627257, 0.0079944
29.139, -1, -3, 322.596, -228.577, 297.005, -179.995, -0.00464351, 0.0045884, 1, 9.01981, 10, 31, 360.631, 329.597, 297.016, -179.993, -0.00061184, 0.0166688
29.139, -1, -4, N/A, N/A, N/A, NA, N/A, N/A, 1, 15.132, 20, 79, 337.746, 330.217, 297, 180, 0, 0
Fine Spiral Search
41.716, 0, 0, 436.559, 225.904, 297, 180, 0, 0, 1, 1.10515, NA, 21, 435.512, 226.387, 297.049, -179.997, -0.00948871, 0.00545261
43.09, 0, 1, 423.136, -230.645, 297.049, -179.997, -0.00948871, 0.00545261, 1, 0.104107, NA, 3, 423.197, -230.66, 297.074, 179.998, -0.00873365, 0.00500553
48.233, 1, 0, 435.512, 226.387, 297.049, -179.997, -0.00948871, 0.00545261, 1, 0.000146455, NA, 1, 435.48, 226.42, 297.024, -180, -0.000306709, 0.00827313
53.166, 1, 1, 423.197, -230.66, 297.074, 179.998, -0.00873365, 0.00500553, 1, 8.72415e-05, NA, 1, 423.157, -230.717, 297.044, 179.999, 7.47093e-05, 0.0029653
